store_name,street_address,city,state,zipcode,latitude,longitude
McDonald's,260 Central Ave,Jersey City,NJ,07307,40.743630,-74.050340
McDonald's,197 12th Street,Jersey City,NJ,07310,40.729980,-74.041870
McDonald's,325 Grove Street,Jersey City,NJ,07302,40.719900,-74.043130
McDonald's,30 Mall Drive West,Jersey City,NJ,07310,40.726920,-74.037750
McDonald's,234 Washington Street,Hoboken,NJ,07030,40.715640,-74.037750
McDonald's,160 Broadway,New York,NY,10038,40.709472,-74.010038
McDonald's,208 Varick Street,New York,NY,10014,40.728870,-74.004960
McDonald's,262 Canal Street,New York,NY,10013,40.7185138,-74.0011677
McDonald's,136 W 3rd Street,New York,NY,10012,40.7307914,-74.0011149
McDonald's,541 6th Ave,New York,NY,10011,40.7378967,-73.9968453
McDonald's,335 8th Ave,New York,NY,10001,40.747569,-73.997087
McDonald's,724 Broadway,New York,NY,10003,40.7291264,-73.9932642
McDonald's,409 8th Ave,New York,NY,10001,40.7500797,-73.995376
McDonald's,151 W 34th Street,New York,NY,10001,40.7508025,-73.9894835
McDonald's,566 7th Ave,New York,NY,10018,40.755236,-73.988011
McDonald's,401 Park Ave S,New York,NY,10016,40.7429741,-73.9840752
McDonald's,82 Court Street,Brooklyn,NY,11201,40.6914268,-73.9918869
McDonald's,420 Fulton Street,Brooklyn,NY,11201,40.690753,-73.986290
McDonald's,395 Flatbush Ave Ext,Brooklyn,NY,11201,40.688961,-73.9807948
McDonald's,139 Flatbush Ave,Brooklyn,NY,11217,40.6845602,-73.9776112
McDonald's,840 Atlantic Ave,Brooklyn,NY,11238,40.6813581,-73.9669556
McDonald's,1380 Broadway,Brooklyn,NY,11221,40.6890828,-73.9218599
McDonald's,700 Broadway,Brooklyn,NY,11206,40.7013332,-73.9434675
McDonald's,267 Broadway,Brooklyn,NY,11211,40.7089349,-73.9588969
McDonald's,652 Meeker Ave,Brooklyn,NY,11222,40.7220559,-73.9404627
McDonald's,904 Manhattan Ave,Brooklyn,NY,11222,40.7304035,-73.9541026
